3DS DELI,Eating Out
A & W,Eating Out
AIRBNB,Vacation Fund
AIRFLY,
AMAZON,
AMZN,
ANDYS LIQUOUR,Groceries
APPLE.COM,Netflix/Spotify
ARMANDO TACOS,Eating Out
ARMY/NAVY SHOP,Christmas $
AZTECAS,Eating Out
Acorns Invest Transfer,Misc.
Amazon.com,
Amazon Prime,Netflix/Spotify
BED BATH & BEYOND,Toiletries
BEST BUY,Major Purchases
BLAZE PIZZA,Eating Out
BRECKENRIDGE ALE,Eating Out
BULLY'S HOT DO,Eating Out
CAFE SOL,Eating Out
CAR WASH,Misc.
CHEGG,Misc.
CHEWY.COM,Misc.
CHICK-FIL-A,Eating Out
CITY MARK,Groceries
CO RANCH HOUSE,Eating Out
COCA COLA,Eating Out
COLLBRAN,Gas/Oil
COLLEGE TRANSCRIPT,Misc.
COLORADO BABY,Baby
COLORADO NATIONAL FRUITA,Misc.
COPEKA COFFEE,Coffee
CROSS ORCHARDS,Misc.
CRUMBL,Eating Out
DAYLIGHT DONUTS,Eating Out
DEN AUNTIE ANNE'S,Eating Out
DEN SAY SI BON,Eating Out
DISCOVER GOODWILL,Clothes $
DOLLAR TR,
DREAM CAFE,Eating Out
DisneyPlus,Netflix/Spotify
EINSTEIN,Eating Out
ENCOUNTER COUNSELI,Counseling
EPIPHANY DERMATOLO,Health
EXXONMOBIL,Gas/Oil
Etsy.com,
FEDEX,Misc.
FIESTA GUADALAJARA,Eating Out
FREDDY'S,Eating Out
FRESH BREW,Eating Out
GAP,Clothes $
GLOSSIER,Lisey $
GLWD HOT SPRINGS,Vacation Fund
GO-FER FOODS,Eating Out
GOLDEN GATE,Eating Out
GRAND MESA LOD,Vacation Fund
GUITARCENTER.COM,Sethy $
HAMPTON INNS DENVER,Vacation Fund
HLU,Netflix/Spotify
HM.COM,Clothes $
HOBBY HUT MODELS,Baby
HOBBY-LOBBY,
HOBBYLOBB,
HOME STYLE BAKERY,Eating Out
HOMEGOODS,
HOTELSCOM,Vacation Fund
IAH,Vacation Fund
JB HART MUSIC CO,Sethy $
JCPENNEY,Clothes $
JIMMY'Z HAMBURGERS,Eating Out
JOANN STORES,Lisey $
JPMC,Health
JUICE N JAVA,Coffee
JUICE STOP,Eating Out
KILN COFFEE BA,Coffee
KOHL,Clothes $
KOI RAMEN & SUSHI,Eating Out
LULU CREPE,Eating Out
MAIN STREET BAGELS,Eating Out
MARATHON HEALTH,Health
MASKSHEETS,Lisey $
MCDONALD'S,Eating Out
MESA LAKES LODGE,Vacation Fund
MICHAELS STORES,Lisey $
MITCHELL,Health
MOUNTAIN AIR,
NATURAL GROCERS,Groceries
NINTENDO,Sethy $
NOODLES & CO,Eating Out
NTTA Collect,Misc.
NTTA ONLINE,Misc.
Netflix.com,Netflix/Spotify
O'REILLY AUTO PARTS,Gas/Oil
OLD NAVY,Clothes $
ON THE HOOK,
ONCE UPON A CHLD,Baby
ONLINE TRANSFER,
ORBIT,
OUT WEST BOOKS,Misc.
OUTBACK,Eating Out
PABLOS PIZZA,Eating Out
PALISADE BEWING,Eating Out
PARAMOUNT,Netflix/Spotify
PAS*PASSPT,
PETSMART,Misc.
PHILLIPS,
PIZZA HUT,Eating Out
POLLO AZADO,Eating Out
Prime Video,Netflix/Spotify
QUALITY INNS,Vacation Fund
R&S TOY AND NOVELTY,Baby
REI,Sethy $
RELIANT MISSION,Give Away
REVIVE,Misc.
ROASTED ESPRES,Coffee
ROCKSLIDE,Eating Out
ROSS,Clothes $
RPS,
Roku for Funimatio,Netflix/Spotify
Roku for WarnerMed,Netflix/Spotify
SAN JAN BEE,
SAVINGS OD PROTECTION TRANSFER FEE,Misc.
SHOEBACCA,Clothes $
SONIC DRIVE IN,Eating Out
SOUTHWES,Vacation Fund
SP * MASKSHEETS,Lisey $
SPECTRUM,Internet
SPORT CLIPS,Misc.
SPOTIFY,Netflix/Spotify
SPROUTS,Groceries
STARBUCKS,Coffee
STATE FARM RO 27 SFPP 08 S 1149428708 SETH ELY,Insurance
STINKER,Gas/Oil
STOP N SAVE,
SUMMIT,
Spotify USA,Netflix/Spotify
Subscription Acorns,Lisey $
T J MAXX,Clothes $
TA EXPRESS,
TARGET,Groceries
TEXACO,Gas/Oil
THAI CHILI & SUSHI,Eating Out
THE COFFEE TRA,Coffee
THE HOG AND THE HE,Eating Out
TRAILHEAD COFF,Coffee
TST* COSTA VIDA,Eating Out
TST* Pablos Pizza,Eating Out
U-HAUL,Misc.
ULTA,Lisey $
UNIV OF CO BLDR CU BOULDER,Misc.
URBAN GIRLS SALON,Lisey $
VIACOMCBS,Netflix/Spotify
VZWRLSS,Phone Bill
WF WAYFAIR,Lisey $
WENDY'S,Eating Out
WESTERN UNION FI TRANSFER ,Give Away
WHICH WICH,Eating Out
WM SUPERC Wal-Mart,Groceries
Wal-Mart,Groceries
ZOUP,Eating Out
eBay,